pizza,weekdays,month,hour,size,how_many_times_ordered
The Barbecue Chicken Pizza,friday,1,11,L,1
The Barbecue Chicken Pizza,friday,1,11,S,1
The Barbecue Chicken Pizza,friday,1,12,L,2
The Barbecue Chicken Pizza,friday,1,12,M,2
The Barbecue Chicken Pizza,friday,1,12,S,1
The Barbecue Chicken Pizza,friday,1,13,L,1
The Barbecue Chicken Pizza,friday,1,13,M,2
The Barbecue Chicken Pizza,friday,1,13,S,1
The Barbecue Chicken Pizza,friday,1,14,M,1
The Barbecue Chicken Pizza,friday,1,14,S,1
The Barbecue Chicken Pizza,friday,1,15,L,3
The Barbecue Chicken Pizza,friday,1,15,M,2
The Barbecue Chicken Pizza,friday,1,16,L,1
The Barbecue Chicken Pizza,friday,1,16,M,1
The Barbecue Chicken Pizza,friday,1,17,L,2
The Barbecue Chicken Pizza,friday,1,17,M,2
The Barbecue Chicken Pizza,friday,1,17,S,2
The Barbecue Chicken Pizza,friday,1,18,L,1
The Barbecue Chicken Pizza,friday,1,18,M,1
The Barbecue Chicken Pizza,friday,1,18,S,2
The Barbecue Chicken Pizza,friday,1,19,L,1
The Barbecue Chicken Pizza,friday,1,19,M,3
The Barbecue Chicken Pizza,friday,1,19,S,2
The Barbecue Chicken Pizza,friday,1,20,S,2
The Barbecue Chicken Pizza,friday,1,21,L,2
The Barbecue Chicken Pizza,friday,1,21,M,1
The Barbecue Chicken Pizza,friday,1,22,L,1
The Barbecue Chicken Pizza,friday,2,11,L,1
The Barbecue Chicken Pizza,friday,2,12,L,6
The Barbecue Chicken Pizza,friday,2,12,M,1
The Barbecue Chicken Pizza,friday,2,13,L,2
The Barbecue Chicken Pizza,friday,2,13,S,2
The Barbecue Chicken Pizza,friday,2,14,L,1
The Barbecue Chicken Pizza,friday,2,14,M,1
The Barbecue Chicken Pizza,friday,2,15,L,1
The Barbecue Chicken Pizza,friday,2,16,L,3
The Barbecue Chicken Pizza,friday,2,17,L,1
The Barbecue Chicken Pizza,friday,2,17,S,1
The Barbecue Chicken Pizza,friday,2,18,L,2
The Barbecue Chicken Pizza,friday,2,18,M,2
The Barbecue Chicken Pizza,friday,2,19,L,2
The Barbecue Chicken Pizza,friday,2,19,M,2
The Barbecue Chicken Pizza,friday,2,20,M,1
The Barbecue Chicken Pizza,friday,2,20,S,1
The Barbecue Chicken Pizza,friday,2,21,L,1
The Barbecue Chicken Pizza,friday,2,22,M,1
The Barbecue Chicken Pizza,friday,3,12,L,1
The Barbecue Chicken Pizza,friday,3,12,S,2
The Barbecue Chicken Pizza,friday,3,13,L,1
The Barbecue Chicken Pizza,friday,3,13,M,1
The Barbecue Chicken Pizza,friday,3,13,S,1
The Barbecue Chicken Pizza,friday,3,14,M,1
The Barbecue Chicken Pizza,friday,3,15,L,1
The Barbecue Chicken Pizza,friday,3,15,M,1
The Barbecue Chicken Pizza,friday,3,15,S,1
The Barbecue Chicken Pizza,friday,3,16,L,1
The Barbecue Chicken Pizza,friday,3,17,L,4
The Barbecue Chicken Pizza,friday,3,17,M,1
The Barbecue Chicken Pizza,friday,3,19,M,1
The Barbecue Chicken Pizza,friday,3,19,S,2
The Barbecue Chicken Pizza,friday,3,20,L,3
The Barbecue Chicken Pizza,friday,3,20,M,1
The Barbecue Chicken Pizza,friday,3,20,S,2
The Barbecue Chicken Pizza,friday,3,21,M,1
The Barbecue Chicken Pizza,friday,3,21,S,2
The Barbecue Chicken Pizza,friday,3,22,M,1
The Barbecue Chicken Pizza,friday,3,22,S,1
The Barbecue Chicken Pizza,friday,4,11,L,1
The Barbecue Chicken Pizza,friday,4,12,L,2
The Barbecue Chicken Pizza,friday,4,12,M,1
The Barbecue Chicken Pizza,friday,4,13,L,1
The Barbecue Chicken Pizza,friday,4,14,M,2
The Barbecue Chicken Pizza,friday,4,14,S,1
The Barbecue Chicken Pizza,friday,4,16,L,2
The Barbecue Chicken Pizza,friday,4,16,M,1
The Barbecue Chicken Pizza,friday,4,17,L,1
