toppings,date,number_of_times_selected
 Alfredo Sauce,2015-01-01,4
 Anchovies,2015-01-01,4
 Artichoke,2015-01-01,8
 Artichokes,2015-01-01,45
 Arugula,2015-01-01,12
 Asiago Cheese,2015-01-01,30
 Bacon,2015-01-01,33
 Barbecue Sauce,2015-01-01,34
 Beef Chuck Roast,2015-01-01,9
 Blue Cheese,2015-01-01,30
 Capocollo,2015-01-01,53
 Chipotle Sauce,2015-01-01,50
 Chorizo Sausage,2015-01-01,15
 Cilantro,2015-01-01,50
 Corn,2015-01-01,50
 Feta Cheese,2015-01-01,51
 Fontina Cheese,2015-01-01,12
 Friggitello Peppers,2015-01-01,10
 Garlic,2015-01-01,136
 Goat Cheese,2015-01-01,40
 Gorgonzola Piccante Cheese,2015-01-01,22
 Gouda Cheese,2015-01-01,8
 Green Olives,2015-01-01,73
 Green Peppers,2015-01-01,61
 Italian Sausage,2015-01-01,15
 Jalapeno Peppers,2015-01-01,58
 Kalamata Olives,2015-01-01,23
 Luganega Sausage,2015-01-01,9
 Mozzarella Cheese,2015-01-01,44
 Mushrooms,2015-01-01,80
 Onions,2015-01-01,9
 Oregano,2015-01-01,27
 Pancetta,2015-01-01,10
 Parmigiano Reggiano Cheese,2015-01-01,22
 Peperoncini verdi,2015-01-01,22
 Pepperoni,2015-01-01,59
 Pesto Sauce,2015-01-01,36
 Pineapple,2015-01-01,29
 Plum Tomatoes,2015-01-01,13
 Provolone Cheese,2015-01-01,30
 Red Onions,2015-01-01,121
 Red Peppers,2015-01-01,126
 Romano Cheese,2015-01-01,30
 Smoked Gouda Cheese,2015-01-01,30
 Spinach,2015-01-01,30
 Sun-dried Tomatoes,2015-01-01,23
 Thai Sweet Chilli Sauce,2015-01-01,23
 Tomatoes,2015-01-01,148
 Zucchini,2015-01-01,26
Bacon,2015-01-01,15
Barbecued Chicken,2015-01-01,34
Calabrese Salami,2015-01-01,47
Capocollo,2015-01-01,40
Chicken,2015-01-01,55
Coarse Sicilian Salami,2015-01-01,9
Eggplant,2015-01-01,13
Genoa Salami,2015-01-01,19
Kalamata Olives,2015-01-01,9
Mozzarella Cheese,2015-01-01,47
Mushrooms,2015-01-01,13
Pepperoni,2015-01-01,49
Prosciutto di San Daniele,2015-01-01,12
Ricotta Cheese,2015-01-01,22
