order_id,first_ingredients,second_ingredients,third_ingredients,fourth_ingredients,fifth_ingredients,sixth_ingredients,seventh_ingredients,eight_ingredients
1,Sliced Ham, Pineapple,,,,,, Mozzarella Cheese
2,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
2,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
2,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
2,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
2,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
3,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
3,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
4,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
5,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
6,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
6,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
7,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
8,Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
9,Pepperoni, Mushrooms, Red Onions, Red Peppers,,,, Bacon
9,Spinach, Mushrooms, Tomatoes, Green Olives,,,, Feta Cheese
9,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
9,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
9,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
9,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
9,Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi,,, Garlic
9,Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic,,, Pesto Sauce
9,Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
10,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
10,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
11,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
11,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
11,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
11,Mozzarella Cheese,,,,,,, Pepperoni
12,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
12,Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese,, Gouda Cheese
12,Chicken, Tomatoes, Red Peppers, Spinach, Garlic,,, Pesto Sauce
12,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
13,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
14,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
15,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
15,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
15,Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms,,,, Garlic
15,Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast,,, Red Onions
16,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
16,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
16,Chicken, Pineapple, Tomatoes, Red Peppers,,,, Thai Sweet Chilli Sauce
17,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
17,�Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers,,, Garlic
17,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
17,Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese,,,, Garlic
17,Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives,,, Garlic
17,Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic,, Pesto Sauce
17,Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes,, Red Onions
17,Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
17,Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese,,, Garlic
17,Spinach, Mushrooms, Red Onions, Feta Cheese,,,, Garlic
18,Tomatoes, Anchovies, Green Olives, Red Onions,,,, Garlic
19,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
19,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
20,Bacon, Pepperoni, Italian Sausage,,,,, Chorizo Sausage
20,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
21,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
22,Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese,,, Garlic
22,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
22,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
23,Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
24,Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions,,, Barbecue Sauce
24,Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic,,, Oregano
24,Mozzarella Cheese,,,,,,, Pepperoni
24,Prosciutto di San Daniele, Arugula,,,,,, Mozzarella Cheese
25,Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions,,, Garlic
